sample_id	ras_score	tp53_score	nf1_score	ras_shuffle	tp53_shuffle	nf1_shuffle
CHLA-258	0.6201378116354086	0.28740526775854125	0.5209912443411154	0.44934921017155904	0.298247048474832	0.656097299949406
CHLA-79	0.5640810876997672	0.5885918400640975	0.6875738766606512	0.5989275379910912	0.48193621385480134	0.5058810613522382
COG-N-415x	0.6312926070963739	0.17126236520316807	0.5842065666449898	0.41391850123899354	0.2762511633713769	0.6239133915046404
COG-N-421x	0.5280567463857511	0.3732052494120412	0.4977156188536655	0.5467757365502759	0.5629800244865891	0.4737039268346171
COG-N-424x	0.4880002159378296	0.21213459533752857	0.5390331374976414	0.32812088199179	0.4008792247593258	0.6205039570840307
COG-N-426x-Felix-PDX	0.5254617842836388	0.7373982090816805	0.5437112611630504	0.3011026486438724	0.5044940232240477	0.5082569546849658
COG-N-440x	0.459752687412417	0.20173881853051928	0.6010269197015066	0.4069459084842226	0.3240834773928751	0.45319766483222323
COG-N-452x	0.5297746521683094	0.35955902629050507	0.4492760714358573	0.42775980548999676	0.7499008756066319	0.4471464515787637
COG-N-453x	0.5392225295383601	0.44638157772265846	0.460267469526072	0.3935908348161048	0.6113644382902399	0.5249621122959225
COG-N-471x	0.5392375711634538	0.6655367062524001	0.5990761064728594	0.39892349398662075	0.5335386368515871	0.4630045317269917
COG-N-480x	0.740259717999399	0.43877466882632327	0.5701577628019697	0.8634817797993577	0.3245987716455612	0.4480896308418205
COG-N-496x	0.4644006002407206	0.8814838726102675	0.5363285969575503	0.3755224584726029	0.289673124846761	0.39638758645477457
COG-N-519x	0.4068959119784254	0.7545221568619186	0.5460760506591122	0.5041388850901795	0.4924994639137032	0.564193554061585
COG-N-549x	0.6209856823097469	0.5326755030680217	0.521642755681697	0.2534994573296528	0.5016808766924138	0.5423239824346509
COG-N-557x	0.5721020165522289	0.4863011328872621	0.5299891662866728	0.6705841165859789	0.6065554033968041	0.44648354065399787
COG-N-560x	0.4508465983349137	0.17440589119768124	0.47861380298591577	0.4922642587403794	0.8104198796260783	0.5871210322017214
COG-N-561x	0.5713153616240466	0.35351837653705565	0.5571828054865693	0.5172411287813563	0.5412465435826194	0.4353803561132964
COG-N-564x	0.6081725596028542	0.3205181164896477	0.5468688307192735	0.6030098516193981	0.6135088866362077	0.46610769793132834
COG-N-589x	0.40188454634828485	0.5208350684160097	0.5164401380390164	0.5925557154542809	0.410609699535712	0.467102769537098
COG-N-590x	0.5039343598207067	0.6117365538575842	0.5452549390869343	0.2618530246299156	0.6261376624637296	0.49705176184662925
COG-N-603x	0.5146970898298012	0.4320293678330317	0.5166982119063549	0.10875724850548522	0.2509300715761033	0.5317512876737966
COG-N-619x	0.3866434094297081	0.5795610821428334	0.5519422214772315	0.34962138290049866	0.2995124007457437	0.43493143374429577
COG-N-620x	0.446194456324377	0.45041280253587107	0.5226632044548337	0.7900601475920035	0.4233878706577948	0.4301901130646117
COG-N-623x	0.4978959753844772	0.4592694143903831	0.5016991576898501	0.5199669076204764	0.6151046168926587	0.47059785901548823
COG-N-624x	0.4003975643511733	0.4688540802160006	0.5204797338633679	0.7508752489533416	0.6254677150847535	0.5155197935824363
COG-N-625x	0.433265181449023	0.40460676228763676	0.5753225056113271	0.584832955964152	0.6427683520964175	0.4917735669571112
ES-1	0.5163889432825685	0.8291085066510573	0.45605497583459875	0.5055211683520109	0.3409813486989899	0.4310488204459311
ES-4	0.2682827613649	0.3721647671769877	0.36449504860872706	0.3743036729778922	0.459938993189125	0.5595222697016808
